PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
167,32.5955939,129.3002051,-0.297,-125.098,53.232,1,4929,34,90
168,32.5955911,129.300207,-0.297,-125.969,53.723,1,4929,34,90
169,32.5955898,129.3002078,-0.297,-126.354,53.94,1,4929,34,90
170,32.5955848,129.3002127,-0.297,-127.906,55.2,1,4929,34,90
171,32.5955823,129.3002151,-0.297,-128.682,55.83,1,4929,34,90
172,32.5955797,129.3002175,-0.297,-129.458,56.46,1,4929,34,90
173,32.5955772,129.3002199,-0.297,-130.234,57.09,1,4929,34,90
174,32.5955747,129.3002224,-0.297,-131.01,57.72,1,4929,34,90
175,32.5955722,129.3002248,-0.297,-131.786,58.35,1,4929,34,90
176,32.5955697,129.3002272,-0.297,-132.562,58.98,1,4929,34,90
177,32.5955671,129.3002296,-0.297,-133.338,59.61,1,4929,34,90
178,32.5955646,129.3002321,-0.297,-134.114,60.24,1,4929,34,90
179,32.5955621,129.3002345,-0.297,-134.89,60.87,1,4929,34,90
180,32.5955596,129.3002369,-0.297,-135.666,61.5,1,4929,34,90
181,32.5955571,129.3002394,-0.297,-136.442,62.13,1,4929,34,90
182,32.5955545,129.3002418,-0.297,-137.218,62.76,1,4929,34,90
183,32.595552,129.3002442,-0.297,-137.994,63.39,1,4929,34,90
184,32.5955495,129.3002466,-0.297,-138.77,64.02,1,4929,34,90
185,32.595547,129.3002491,-0.297,-139.546,64.65,1,4929,34,90
186,32.5955445,129.3002515,-0.297,-140.322,65.28,1,4929,34,90
187,32.5955419,129.3002539,-0.297,-141.098,65.91,1,4929,34,90
188,32.5955394,129.3002563,-0.297,-141.874,66.54,1,4929,34,90
189,32.5955369,129.3002588,-0.297,-142.65,67.17,1,4929,34,90
190,32.5955344,129.3002612,-0.297,-143.426,67.8,1,4929,34,90
191,32.5955319,129.3002636,-0.297,-144.202,68.43,1,4929,34,90
192,32.5955293,129.3002661,-0.297,-144.978,69.06,1,4929,34,90
193,32.5955268,129.3002685,-0.297,-145.754,69.69,1,4929,34,90
194,32.5955243,129.3002709,-0.297,-146.53,70.32,1,4929,34,90
195,32.5955218,129.3002733,-0.297,-147.306,70.95,1,4929,34,90
196,32.5955193,129.3002758,-0.297,-148.082,71.58,1,4929,34,90
197,32.5955168,129.3002782,-0.297,-148.858,72.21,1,4929,34,90
198,32.5955142,129.3002806,-0.297,-149.634,72.84,1,4929,34,90
199,32.5955117,129.300283,-0.297,-150.41,73.47,1,4929,34,90
200,32.5955092,129.3002855,-0.297,-151.186,74.1,1,4929,34,90
201,32.5955067,129.3002879,-0.297,-151.962,74.73,1,4929,34,90
202,32.5955042,129.3002903,-0.297,-152.738,75.36,1,4929,34,90
203,32.5955016,129.3002928,-0.297,-153.514,75.99,1,4929,34,90
204,32.5954991,129.3002952,-0.297,-154.29,76.62,1,4929,34,90
205,32.5954966,129.3002976,-0.297,-155.066,77.25,1,4929,34,90
206,32.5954941,129.3003,-0.297,-155.842,77.88,1,4929,34,90
207,32.5954916,129.3003025,-0.297,-156.618,78.51,1,4929,34,90
208,32.595489,129.3003049,-0.297,-157.394,79.14,1,4929,34,90
209,32.5954865,129.3003073,-0.297,-158.17,79.77,1,4929,34,90
210,32.595484,129.3003097,-0.297,-158.946,80.4,1,4929,34,90
211,32.5954815,129.3003122,-0.297,-159.722,81.03,1,4929,34,90
212,32.595479,129.3003146,-0.297,-160.498,81.66,1,4929,34,90
213,32.5954764,129.300317,-0.297,-161.274,82.29,1,4929,34,90
214,32.5954739,129.3003195,-0.297,-162.05,82.92,1,4929,34,90
215,32.5954714,129.3003219,-0.297,-162.826,83.55,1,4929,34,90
216,32.5954689,129.3003243,-0.297,-163.602,84.18,1,4929,34,90
217,32.5954664,129.3003267,-0.297,-164.378,84.81,1,4929,34,90
218,32.5954638,129.3003292,-0.297,-165.154,85.44,1,4929,34,90
219,32.5954613,129.3003316,-0.297,-165.93,86.07,1,4929,34,90
220,32.5954588,129.300334,-0.297,-166.706,86.7,1,4929,34,90
221,32.5954563,129.3003364,-0.297,-167.482,87.33,1,4929,34,90
222,32.5954538,129.3003389,-0.297,-168.258,87.96,1,4929,34,90
223,32.5954513,129.3003413,-0.297,-169.034,88.59,1,4929,34,90
224,32.5954487,129.3003437,-0.297,-169.81,89.22,1,4929,34,90
225,32.5954462,129.3003461,-0.297,-170.586,89.85,1,4929,34,90
226,32.5954437,129.3003486,-0.297,-171.362,90.48,1,4929,34,90
227,32.5954412,129.300351,-0.297,-172.138,91.11,1,4929,34,90
228,32.5954387,129.3003534,-0.297,-172.914,91.74,1,4929,34,90
229,32.5954361,129.3003559,-0.297,-173.69,92.37,1,4929,34,90
230,32.5954336,129.3003583,-0.297,-174.466,93,1,4929,34,90
231,32.5954311,129.3003607,-0.297,-175.242,93.63,1,4929,34,90
232,32.5954286,129.3003631,-0.297,-176.018,94.26,1,4929,34,90
233,32.5954261,129.3003656,-0.297,-176.794,94.89,1,4929,34,90
234,32.5954235,129.300368,-0.297,-177.57,95.52,1,4929,34,90
235,32.595421,129.3003704,-0.297,-178.346,96.15,1,4929,34,90
236,32.5954185,129.3003728,-0.297,-179.122,96.78,1,4929,34,90
237,32.595416,129.3003753,-0.297,-179.898,97.41,1,4929,34,90
238,32.5954135,129.3003777,-0.297,-180.674,98.04,1,4929,34,90
239,32.5954109,129.3003801,-0.297,-181.45,98.67,1,4929,34,90
240,32.5954084,129.3003826,-0.297,-182.226,99.3,1,4929,34,90
